antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'impact_archetype_Sinker Aces (Elite Sinker Impact)'}),frozenset({'events_single'}),0.029181249075762805,0.43229654458520234,0.014689209838813033,0.5033783783783784,1.1644284107368488,1.0,0.0020742566966806437,1.1431307673658513,0.14545408077204214,0.03287731685789939,0.1252094436191858,0.26867892693149253
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Hitters With Good Contact', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_single'}),0.025040666436634298,0.43229654458520234,0.012520333218317149,0.5,1.1566134549600913,1.0,0.0016953396436494902,1.1354069108295954,0.1388846756661105,0.02814716312056738,0.11925848745332987,0.2644811858608894
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Hitters With Good Contact'})",frozenset({'events_single'}),0.037560999654951445,0.43229654458520234,0.018681914526544094,0.49737532808398954,1.150541993254264,1.0,0.002444424164542606,1.129477893018475,0.1359508646988673,0.041407188899814276,0.11463517242683824,0.2702954177478101
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_single'}),0.0751712919603687,0.43229654458520234,0.037117365800759104,0.4937704918032787,1.142203188963867,1.0,0.004621076034286312,1.1214349345952934,0.1346184745437112,0.07891427373716202,0.10828531451012548,0.2898156905994729
"frozenset({'Hitter_Types_Hitters With Good Contact', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_single'}),0.14196283334154877,0.43229654458520234,0.0700941489623897,0.49374999999999997,1.14215578677309,1.0,0.008724106649313217,1.121389541560094,0.14505513204712495,0.13903011341415722,0.10824921854649643,0.32794683580387685
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.11248582836299108,0.43229654458520234,0.054468378764726176,0.4842243645924627,1.1201208306142862,1.0,0.005841143848600988,1.1006790868789873,0.12083094062609556,0.11108877048356287,0.09146997347289147,0.30511104204537615
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_single'}),0.2118598117020752,0.43229654458520234,0.10252871296889633,0.4839460214053048,1.1194769596635596,1.0,0.010942448433617608,1.1000854154070339,0.13541461196880555,0.1892974153622133,0.09097967667356242,0.3605590996422191
"frozenset({'Hitter_Types_Hitters With Good Contact', 'Ball Preference_Aggressive Fastball', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.025730763543155715,0.43229654458520234,0.012027406713658994,0.4674329501915709,1.0812784789665222,1.0,0.0009040865444138804,1.0659755529731092,0.07715410167832697,0.026967285587975242,0.061892182038412666,0.24762753552908076
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.03731453640262237,0.43229654458520234,0.017351012963967072,0.46499339498018494,1.0756352342033082,1.0,0.0012200678143146765,1.0611148537012394,0.07304234743750879,0.03836512261580381,0.057594946944778326,0.25256511254140374
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact'})",frozenset({'events_single'}),0.06989697836052644,0.43229654458520234,0.03243456400650663,0.46403385049365303,1.073415590075797,1.0,0.0022183417843043875,1.059215131287083,0.07353419456914671,0.06904512067156347,0.05590472561993047,0.2695311783825164
