antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'quality_archetype_Fastball Generalists (Good FF + Good SI)', 'Swinging Tendencies_Selective'})",frozenset({'events_single'}),0.02149159560309558,0.43229654458520234,0.011386602257603391,0.5298165137614679,1.2255858169531242,1.0,0.002095859740762644,1.207408324687082,0.1881063708175692,0.02573816155988858,0.1717797703116175,0.27807815425815696
frozenset({'quality_archetype_Changeup Specialists (Elite CH)'}),frozenset({'events_single'}),0.025878641494553163,0.43229654458520234,0.01296396707250949,0.5009523809523809,1.1588165282076341,1.0,0.0017767197758549215,1.1375737179113312,0.14069152958225709,0.029118689105403012,0.1209360903343711,0.2654704892219145
frozenset({'quality_archetype_Fastball Generalists (Good FF + Good SI)'}),frozenset({'events_single'}),0.053728989007738946,0.43229654458520234,0.026618031251540396,0.4954128440366973,1.1460023223457785,1.0,0.0033911749594385324,1.1250850298220538,0.13463523428622154,0.057939914163090134,0.11117829009051643,0.27849319510842846
"frozenset({'quality_archetype_Weak Breaking Ball Group (Bad SL)', 'Swinging Tendencies_Aggressive'})",frozenset({'events_single'}),0.02868832257110465,0.43229654458520234,0.013456893577167645,0.4690721649484536,1.0850703546532814,1.0,0.0010550308597334374,1.069266702431755,0.080716390942222,0.03006939090208173,0.06477963100714408,0.2501005066475449
frozenset({'quality_archetype_Cutter Aces (Elite FC)'}),frozenset({'events_single'}),0.025829348844087347,0.43229654458520234,0.012076699364124808,0.4675572519083969,1.0815660170428334,1.0,0.0009107611099400583,1.0662244108865735,0.07741429820929027,0.027074814896673665,0.062111137402591686,0.2477466989302532
"frozenset({'quality_archetype_Weak Breaking Ball Group (Bad SL)', 'Swinging Tendencies_Selective'})",frozenset({'events_single'}),0.027948932814117415,0.43229654458520234,0.01296396707250949,0.46384479717813054,1.0729782668589207,1.0,0.0008817399921225554,1.0588416421716786,0.06997026816495582,0.028983910072735288,0.05557171141379998,0.24691669733478933
frozenset({'Swinging Tendencies_Aggressive'}),frozenset({'events_single'}),0.37211021836644154,0.43229654458520234,0.17005964410706365,0.4570141740627898,1.0571774856569918,1.0,0.00919768250240588,1.045521684539231,0.0861377915218873,0.2680860983759422,0.04353968474531712,0.4252003595513493
"frozenset({'quality_archetype_League-Average Pitch Quality', 'Swinging Tendencies_Aggressive'})",frozenset({'events_single'}),0.14260363779760438,0.43229654458520234,0.06477054271208163,0.45419979260283444,1.0506671827290426,1.0,0.0031234828468975073,1.0401305234420584,0.05624448606204253,0.1269687892550005,0.0385821995774683,0.3020143774872781
frozenset({'quality_archetype_Poor Changeup Group (Bad CH)'}),frozenset({'events_single'}),0.026716616552472025,0.43229654458520234,0.011978114063193178,0.448339483394834,1.0371109577686428,1.0,0.00042861304455170043,1.0290811800495665,0.03676525911128209,0.026794574925570625,0.0282593643857773,0.23802378958795292
frozenset({'Swinging Tendencies_Selective'}),frozenset({'events_single'}),0.37585645980184357,0.43229654458520234,0.16749642628284123,0.44563934426229507,1.0308649232667253,1.0,0.005014977450477243,1.0240688070825248,0.0479710207041055,0.2614449488343464,0.023503115138419746,0.41654829242761277
"frozenset({'quality_archetype_Four-Seam Aces (Elite FF Quality)', 'Swinging Tendencies_Aggressive'})",frozenset({'events_single'}),0.05949622911223937,0.43229654458520234,0.0263222753487455,0.4424192212096106,1.0234160479680012,1.0,0.0006022610876749018,1.0181546369772076,0.02432768787443362,0.056549825267393834,0.017830923042404273,0.25165430843832864
"frozenset({'quality_archetype_League-Average Pitch Quality', 'Swinging Tendencies_Selective'})",frozenset({'events_single'}),0.14008971262384778,0.43229654458520234,0.06186227633459851,0.44159042927515835,1.0214988641625014,1.0,0.0013019776353751164,1.0166434910452773,0.024475100458013228,0.1211740851597953,0.016371020118532392,0.29234595580063505
frozenset({'quality_archetype_Weak Breaking Ball Group (Bad SL)'}),frozenset({'events_single'}),0.07448119485384729,0.43229654458520234,0.03287819786069897,0.44142951687624093,1.0211266372711858,1.0,0.000680234688803634,1.0163506174546912,0.022354528956229282,0.06937799043062201,0.016087575659312323,0.258742124458645
"frozenset({'quality_archetype_Weak Fastball Group (Bad FF)', 'Swinging Tendencies_Selective'})",frozenset({'events_single'}),0.0650170059644107,0.43229654458520234,0.028392566668309756,0.43669446550416985,1.0101733890174565,1.0,0.00028593965061951554,1.0078073454806435,0.010771247774028787,0.060548722800378436,0.007746863044464177,0.2511864573815034
"frozenset({'quality_archetype_Weak Fastball Group (Bad FF)', 'Swinging Tendencies_Aggressive'})",frozenset({'events_single'}),0.05934835116084192,0.43229654458520234,0.025632178242224083,0.4318936877076412,0.9990681006299792,1.0,-2.3908891437059154e-05,0.9992908776599655,-0.000990637269707025,0.05500317325999577,-0.0007096255513660575,0.24559336608871227
frozenset({'quality_archetype_League-Average Pitch Quality'}),frozenset({'events_single'}),0.3830531867698526,0.43229654458520234,0.16537684231281116,0.43173336764895126,0.9986972439560176,1.0,-0.00021572672014627536,0.9990089565281687,-0.0021099114507343608,0.25443652358562113,-0.0009920266133303431,0.40714376478228637
"frozenset({'quality_archetype_Four-Seam Aces (Elite FF Quality)', 'Swinging Tendencies_Selective'})",frozenset({'events_single'}),0.058954009957115396,0.43229654458520234,0.025385714989895006,0.4306020066889632,0.99608014933854,1.0,-9.989980400759019e-05,0.9970239833716564,-0.004164396160024584,0.05449158819172574,-0.002984899739602615,0.24466246286557625
frozenset({'quality_archetype_Four-Seam Aces (Elite FF Quality)'}),frozenset({'events_single'}),0.1559619460738404,0.43229654458520234,0.06521417656627397,0.41814159292035397,0.9672563849002532,1.0,-0.0022076338082308994,0.9756728587356981,-0.03856069617628293,0.12468193384223919,-0.024933707078647116,0.28449839053087256
frozenset({'quality_archetype_Weak Fastball Group (Bad FF)'}),frozenset({'events_single'}),0.16621481737073002,0.43229654458520234,0.06915758860353921,0.416073546856465,0.9624725250943108,1.0,-0.002696502604687845,0.9722173954589629,-0.04467435250751926,0.13064531148151595,-0.02857653511529858,0.2880253709196806
frozenset({'quality_archetype_Slider Aces (Elite SL)'}),frozenset({'events_single'}),0.04860255335929413,0.43229654458520234,0.020160694040518557,0.4148073022312373,0.9595434139526923,1.0,-0.0008500218347222144,0.9701137037070893,-0.04243562488157989,0.043757355301166145,-0.030807003528252906,0.23072178110421615
frozenset({'quality_archetype_Sinkers Get Hit (Bad SI)'}),frozenset({'events_single'}),0.03953270567358407,0.43229654458520234,0.015872233449992605,0.40149625935162087,0.9287519513644621,1.0,-0.0012176186108016143,0.9485378567555578,-0.07396370579233753,0.03481081081081081,-0.05425417960698682,0.2191061684443395
"frozenset({'quality_archetype_League-Average Pitch Quality', 'Swinging Tendencies_Balanced'})",frozenset({'events_single'}),0.10035983634840046,0.43229654458520234,0.03874402326613102,0.38605108055009824,0.8930237481322512,1.0,-0.004641187202418885,0.9246753881796226,-0.11750773157316592,0.0784431137724551,-0.08146059988540043,0.23783739888394306
frozenset({'Swinging Tendencies_Balanced'}),frozenset({'events_single'}),0.2520333218317149,0.43229654458520234,0.09474047419529748,0.3759045570115392,0.8695525368407179,1.0,-0.014212659952883108,0.9096420456082295,-0.16705961622472312,0.16068890560989882,-0.09933352886228221,0.29753038568935
"frozenset({'quality_archetype_Weak Fastball Group (Bad FF)', 'Swinging Tendencies_Balanced'})",frozenset({'events_single'}),0.0418494602454774,0.43229654458520234,0.015132843693005374,0.36160188457008247,0.8364672100653664,1.0,-0.0029585333638702995,0.8892624237032533,-0.16946503222577536,0.032968213058419245,-0.12452744358137854,0.1983037929121792
"frozenset({'quality_archetype_Four-Seam Aces (Elite FF Quality)', 'Swinging Tendencies_Balanced'})",frozenset({'events_single'}),0.03751170700448563,0.43229654458520234,0.01350618622763346,0.3600525624178712,0.8328832763707358,1.0,-0.002709995091898211,0.8871095063052589,-0.172506316646498,0.029599222210219295,-0.12725654825289975,0.19564771792501315
