antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_single'}),0.037797705139330826,0.4206441037508437,0.02015234789316363,0.5331632653061225,1.2674925442956553,1.0,0.004252966090991156,1.2410246520746955,0.21933092988097974,0.045979540204597956,0.19421423391691703,0.29053578738085495
"frozenset({'Hitter_Types_Hitters With Good Contact', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_single'}),0.06715842252434674,0.4206441037508437,0.03432648732041269,0.511127063890883,1.2151057374469565,1.0,0.006076692868338382,1.1850848215493022,0.18977107953783284,0.07569636402296408,0.15617854366519893,0.29636582420905183
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.09926718734933951,0.4206441037508437,0.04951306527817954,0.4987858183584264,1.1857668131106567,1.0,0.007756908223749526,1.1559048356366401,0.1739293426361544,0.10525776365686174,0.13487687812186736,0.3082467773740556
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_single'}),0.17457332947642465,0.4206441037508437,0.0849484138463022,0.48660590996962166,1.156811436629214,1.0,0.011515172129890797,1.1284818183529826,0.16422401388103539,0.16647770219198788,0.11385368932261732,0.3442771670191948
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_single'}),0.061469482210008676,0.4206441037508437,0.02936071738501591,0.4776470588235294,1.1355135007584696,1.0,0.0035039421327583767,1.1091272788553668,0.12715746567198088,0.06484932382067937,0.09839022169573497,0.27372324287881344
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Hitters With Good Contact'})",frozenset({'events_single'}),0.10741490695207791,0.4206441037508437,0.050621926525889496,0.4712746858168761,1.1203644164141713,1.0,0.005438479261552415,1.0957597086953483,0.1203619397418684,0.10602847621932747,0.08739115696210732,0.2958092626792117
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Ball Preference_Selective / Moderate', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.043293800019284547,0.4206441037508437,0.02015234789316363,0.46547884187082406,1.1065859184051154,1.0,0.0019410661860834212,1.0838783225661297,0.10067835335714255,0.045410103204780006,0.07738721295536592,0.2566935756632057
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.05679298042618841,0.4206441037508437,0.02632340179346254,0.4634974533106961,1.1018755503232616,1.0,0.002433769442749305,1.0798753888947883,0.09802354328013695,0.05835203590894517,0.07396722780814328,0.2630381249361503
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.027962587985729436,0.4206441037508437,0.012872432745154759,0.46034482758620693,1.094380792411817,1.0,0.0011101349833434904,1.0735668365000341,0.08872217435773985,0.029541934056207125,0.06852562318324905,0.24547327339195732
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_single'}),0.14068074438337672,0.4206441037508437,0.06392826149840902,0.4544208361891707,1.0802976486230118,1.0,0.004751735862261984,1.0619098651099483,0.08649775854272104,0.1285257342250654,0.05830048965929748,0.30319895677653375
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Ball Preference_Aggressive Fastball', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.06932793366117057,0.4206441037508437,0.03128917172885932,0.4513212795549374,1.0729290522095716,1.0,0.0021267852090582733,1.0559109997544824,0.07303531142623057,0.06821526171957115,0.0529504851900234,0.2628526168548326
frozenset({'Ball Preference_Aggressive Fastball'}),frozenset({'events_single'}),0.24346736091023044,0.4206441037508437,0.10982547488188217,0.4510891089108911,1.0723771114074159,1.0,0.007412365059215081,1.055464385302395,0.08921256800969134,0.19813864486387753,0.05254974594571881,0.3560889670628954
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_single'}),0.026612669945039052,0.4206441037508437,0.011908205573233053,0.44746376811594196,1.0637585648436525,1.0,0.0007137428757850849,1.0485391958345383,0.06157575903411499,0.027353266888150606,0.04629220922533643,0.23788661185166726
"frozenset({'Ball Preference_Aggressive Fastball', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.11840709671198535,0.4206441037508437,0.05269501494552117,0.44503257328990226,1.0579788693615075,1.0,0.0028877678713686156,1.0439457675626764,0.062161954725861744,0.10834655035685962,0.042095833833665004,0.28515238979681357
"frozenset({'impact_archetype_Sinker Aces (Elite Sinker Impact)', 'Ball Preference_Selective / Moderate'})",frozenset({'events_single'}),0.02540738598013692,0.4206441037508437,0.011281457911483946,0.444022770398482,1.0555782582928726,1.0,0.0005939908072174985,1.0420496836972881,0.054024577670385175,0.02594810379241517,0.040352858750546144,0.23542112731958484
"frozenset({'Ball Preference_Aggressive Fastball', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_single'}),0.036351364381448266,0.4206441037508437,0.01610259377109247,0.44297082228116713,1.0530774551009705,1.0,0.0008116066807378197,1.0400817756472949,0.05230353781130956,0.03652268999453253,0.03853713869983926,0.24062581228671537
frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)'}),frozenset({'events_single'}),0.07115996528782181,0.4206441037508437,0.03148201716324366,0.4424119241192412,1.051748782817341,1.0,0.0015489973418067078,1.0390392501382197,0.05297210059410063,0.06839128613322162,0.03757244986945996,0.258627165498016
frozenset({'impact_archetype_Sinker Aces (Elite Sinker Impact)'}),frozenset({'events_single'}),0.034085430527432264,0.4206441037508437,0.014945521164786424,0.43847241867043846,1.0423833705515455,1.0,0.0006076857896130314,1.0317496691389259,0.042094882342996506,0.033983775487831616,0.030772647754201066,0.23700125231516192
frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)'}),frozenset({'events_single'}),0.11141644971555298,0.4206441037508437,0.04874168354064218,0.4374729554305496,1.0400073400046372,1.0,0.001875010906942448,1.029916520178308,0.043291736211209596,0.10084788029925187,0.029047519475780926,0.2766734404659911
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Ball Preference_Selective / Moderate'})",frozenset({'events_single'}),0.05336997396586636,0.4206441037508437,0.023334297560505254,0.4372177055103884,1.0394005326872753,1.0,0.0008845326944275367,1.029449401521374,0.04004413185259065,0.05177578091570389,0.028606944137178677,0.24634524244000797
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.03504965769935397,0.4206441037508437,0.015234789316362934,0.43466299862448415,1.033327211171238,1.0,0.0004913574666443252,1.024797412586707,0.03342382453666067,0.03458844133099824,0.024197380167183993,0.23544038183373206
"frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)', 'Ball Preference_Selective / Moderate'})",frozenset({'events_single'}),0.08480377977051393,0.4206441037508437,0.03683347796740912,0.4343376918703809,1.0325538572808528,1.0,0.0011612680311573614,1.0242080618113227,0.03444891309474205,0.07860082304526748,0.023635882897182364,0.26095108089221053
"frozenset({'impact_archetype_Sinker Liability Pitchers (Sinker Gets Crushed)', 'Ball Preference_Selective / Moderate', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_single'}),0.0274322630411725,0.4206441037508437,0.011908205573233053,0.43409490333919154,1.0319766745056174,1.0,0.00036898587242165104,1.0237686489620184,0.03185983750678072,0.027301868022548907,0.023216816598278327,0.23120217946329205
frozenset({'Hitter_Types_Balanced Hitters'}),frozenset({'events_single'}),0.49556455500916013,0.4206441037508437,0.2113103847266416,0.42640334662904955,1.0136914860492545,1.0,0.0028540766341277335,1.0100405796379033,0.026775598919033382,0.2997742972436906,0.009940768559519473,0.4643764584148113
