"last_name, first_name","player_id","year","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone"
"Hunter, Torii",116338,2015,63.8,128,354,1039,1329,465,2087,82.9,130,761,1048
"Ortiz, David",120074,2015,65.1,135,387,1460,1425,565,2488,83,123,724,1025
"Rodriguez, Alex",121347,2015,54.4,151,331,1362,1539,615,2503,73.8,201,768,1141
"Ramirez, Aramis",133380,2015,71.2,95,330,958,1164,480,1815,87.8,77,629,856
"Beltré, Adrian",134181,2015,74.5,108,424,1198,1452,515,2288,88.8,76,676,1088
"Beltrán, Carlos",136860,2015,68.5,103,327,1131,1231,403,2069,89.1,67,613,938
"Rollins, Jimmy",276519,2015,64.8,95,270,1088,1390,384,2128,88.5,79,688,1040
"Pujols, Albert",405395,2015,70.6,113,384,1309,1475,667,2514,90.4,73,758,1204
"Byrd, Marlon",407781,2015,51.5,216,445,1063,1163,604,1979,79.2,155,745,915
"Mauer, Joe",408045,2015,70.6,107,364,1428,1771,571,2715,89.2,80,739,1285
"Cabrera, Miguel",408234,2015,64.5,109,307,1124,1280,452,1985,83.4,97,584,857
"González, Adrián",408236,2015,66.7,154,462,1432,1579,553,2485,85.4,113,774,1051
"Phillips, Brandon",408252,2015,64.9,138,393,1110,1391,542,2168,89.3,84,783,1058
"Reyes, José",408314,2015,74.6,87,342,961,1160,306,1804,89,62,566,843
"Peralta, Jhonny",425509,2015,59.9,152,379,1309,1401,690,2444,84.5,130,840,1130
"Choo, Shin-Soo",425783,2015,59.6,127,314,1372,1603,655,2606,78.4,168,777,1233
"Molina, Yadier",425877,2015,77.3,70,309,908,1178,446,1812,85.7,96,671,904
"Fielder, Prince",425902,2015,63.9,171,474,1464,1448,657,2483,89.5,75,715,1015
"Canó, Robinson",429664,2015,65.7,145,423,1333,1575,536,2445,88.9,88,794,1111
"Encarnación, Edwin",429665,2015,63.2,111,302,1299,1569,654,2517,82.1,140,783,1216
"Howard, Ryan",429667,2015,48.8,200,391,1051,1092,556,1897,79.8,130,645,846
"Bautista, José",430832,2015,66.2,96,284,1450,1539,844,2741,84.4,124,793,1287
"Jones, Adam",430945,2015,63.3,180,491,1114,1201,556,1996,84.5,111,714,878
"Aybar, Erick",430947,2015,77.1,103,450,1161,1273,488,2155,93,48,684,993
"Martin, Russell",431145,2015,54.8,94,208,1002,1326,551,2112,83.4,109,657,1107
"Granderson, Curtis",434158,2015,62.4,115,306,1583,1887,665,2981,85.6,117,812,1391
"Pagán, Ángel",434636,2015,77.6,57,255,1082,1356,434,2107,91.8,51,619,1023
