pitcher,season,ground,fly,line,bip,GB_percent,FB_percent,LD_percent
ableh101,1911,7,1,1,44,0.1590909090909091,0.022727272727272728,0.022727272727272728
adamb104,1909,12,19,2,86,0.13953488372093023,0.22093023255813954,0.023255813953488372
adamb104,1911,96,76,16,954,0.10062893081761007,0.07966457023060797,0.016771488469601678
aitcr101,1911,0,3,0,5,0.0,0.6,0.0
alexg102,1911,129,128,25,1107,0.11653116531165311,0.11562782294489611,0.022583559168925023
allim102,1911,11,22,1,98,0.11224489795918367,0.22448979591836735,0.01020408163265306
altrn101,1906,10,8,2,58,0.1724137931034483,0.13793103448275862,0.034482758620689655
amesr101,1905,1,0,1,3,0.3333333333333333,0.0,0.3333333333333333
amesr101,1911,97,57,8,689,0.14078374455732948,0.08272859216255443,0.011611030478955007
armsh101,1911,2,2,1,12,0.16666666666666666,0.16666666666666666,0.08333333333333333
bailb101,1911,13,26,4,123,0.10569105691056911,0.21138211382113822,0.032520325203252036
bakej101,1911,38,34,1,314,0.12101910828025478,0.10828025477707007,0.0031847133757961785
bargc101,1911,67,79,15,769,0.08712613784135241,0.10273081924577374,0.01950585175552666
baskj101,1911,3,15,2,73,0.0410958904109589,0.2054794520547945,0.0273972602739726
beckc102,1911,29,36,4,263,0.11026615969581749,0.13688212927756654,0.015209125475285171
beebf101,1911,17,20,5,166,0.10240963855421686,0.12048192771084337,0.030120481927710843
bellg101,1911,46,27,2,382,0.12041884816753927,0.07068062827225131,0.005235602094240838
bellw103,1903,3,3,0,65,0.046153846153846156,0.046153846153846156,0.0
bendc101,1905,6,11,1,45,0.13333333333333333,0.24444444444444444,0.022222222222222223
bendc101,1910,4,8,1,49,0.08163265306122448,0.16326530612244897,0.02040816326530612
bendc101,1911,96,81,13,775,0.12387096774193548,0.10451612903225807,0.016774193548387096
bentr102,1911,18,23,3,139,0.12949640287769784,0.16546762589928057,0.02158273381294964
benzj101,1911,24,11,4,180,0.13333333333333333,0.06111111111111111,0.022222222222222223
blanf102,1911,68,82,9,614,0.11074918566775244,0.13355048859934854,0.014657980456026058
boydr101,1911,18,19,2,148,0.12162162162162163,0.12837837837837837,0.013513513513513514
brena101,1911,10,6,0,75,0.13333333333333333,0.08,0.0
brocl101,1911,26,31,7,276,0.09420289855072464,0.11231884057971014,0.025362318840579712
browb102,1911,82,111,23,865,0.09479768786127167,0.1283236994219653,0.026589595375722544
browb103,1911,5,11,1,42,0.11904761904761904,0.2619047619047619,0.023809523809523808
browc104,1911,12,11,1,81,0.14814814814814814,0.13580246913580246,0.012345679012345678
browe101,1911,6,6,2,58,0.10344827586206896,0.10344827586206896,0.034482758620689655
browm102,1906,13,4,2,60,0.21666666666666667,0.06666666666666667,0.03333333333333333
browm102,1907,3,5,1,29,0.10344827586206896,0.1724137931034483,0.034482758620689655
browm102,1908,5,3,0,33,0.15151515151515152,0.09090909090909091,0.0
