"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Rodón, Carlos","607074","41.8","9.6","0.2","28.4","16.2","3.8","","","",""
"Crochet, Garrett","676979","36.2","15.8","27.8","","4.3","","","","15.9",""
"Fried, Max","608331","12.4","17.7","28.0","2.0","11.0","17.3","","","11.5",""
"Kikuchi, Yusei","579328","34.9","1.2","","36.2","12.1","15.4","","","0.2",""
"Ray, Robbie","592662","52.0","","","22.5","13.0","12.1","","","0.4",""
"Luzardo, Jesús","666200","34.1","10.0","","7.7","17.3","","","","31.0",""
"Sánchez, Cristopher","650911","","46.0","","16.6","37.4","","","","",""
"Valdez, Framber","664285","1.5","44.0","","3.1","18.2","33.1","","","",""
"Skubal, Tarik","669373","29.5","23.7","","12.5","31.4","2.8","0.1","","",""
"Springs, Jeffrey","605488","42.7","","5.5","20.6","25.3","","","","5.9",""
"Gore, MacKenzie","669022","49.3","","4.7","11.8","10.3","24.0","","","",""
"Boyd, Matthew","571510","46.5","3.7","","14.9","23.7","11.3","","","",""
"Parker, Mitchell","680730","55.5","","","11.9","","22.0","10.6","","",""
"Peterson, David","656849","22.6","29.2","","19.1","15.3","13.7","","","",""
"Abbott, Andrew","671096","47.2","","4.3","","19.6","15.1","","","13.8",""
"Allen, Logan","671106","33.5","13.2","11.4","","18.5","","","","23.3",""
"Corbin, Patrick","571578","3.3","28.2","25.2","33.5","9.2","0.6","","","",""
"Rodriguez, Eduardo","593958","45.5","9.7","15.7","5.0","20.4","3.6","","","",""
"Freeland, Kyle","607536","33.5","6.0","15.6","","5.9","26.1","","","12.8",""
"Lodolo, Nick","666157","29.1","20.4","","","21.8","28.7","","","",""
"Suárez, Ranger","624133","14.6","28.6","17.4","4.2","19.1","16.2","","","",""
"Liberatore, Matthew","669461","29.6","10.7","10.5","21.1","12.4","15.8","","","",""
"Sears, JP","676664","40.6","6.4","0.3","7.1","15.0","3.7","","","26.9",""
"Anderson, Tyler","542881","38.1","3.7","20.5","3.5","34.0","0.3","","","",""
"Imanaga, Shota","684007","48.7","1.3","","0.4","","1.6","31.4","","16.6",""
"Quintana, Jose","500779","11.7","44.0","","","22.1","14.5","","","","7.7"
"Cameron, Noah","702070","26.4","","21.5","14.3","18.5","19.3","","","",""
"Heaney, Andrew","571760","43.6","11.3","","16.4","17.3","11.4","","","",""
"Sale, Chris","519242","41.9","3.4","","47.3","7.3","","","","",""
"Povich, Cade","700249","36.2","12.3","2.7","","15.6","21.8","","","11.5",""
"Falter, Bailey","663559","47.0","13.7","","18.0","","13.6","7.7","","",""
"Wentz, Joey","666214","44.1","","8.3","26.4","3.5","17.7","","","",""
"Bubic, Kris","663460","38.1","6.5","","13.4","21.1","","","","20.9",""
"Kershaw, Clayton","477132","34.6","0.6","","41.3","","17.9","5.5","","",""
"Lauer, Eric","641778","46.5","0.1","20.5","10.6","8.0","14.4","","","",""
"Lopez, Jacob","682052","36.9","4.6","14.6","30.6","13.4","","","","",""
"Cantillo, Joey","676282","42.0","","","8.7","30.5","18.8","","","",""
"Rogers, Trevor","669432","40.7","15.1","","12.0","25.0","","","","7.3",""
"Alexander, Tyler","641302","26.1","18.4","17.1","","16.0","","","","22.4",""
"Newcomb, Sean","656794","29.9","21.7","13.6","","6.9","5.4","","","","22.4"
"Gordon, Colton","676467","41.8","10.0","","","7.9","10.2","","","30.1",""
"Latz, Jacob","656641","49.4","","","20.9","23.3","6.4","","","",""
"Little, Brendon","663893","0.6","45.6","7.8","","","46.0","","","",""
"Eisert, Brandon","685126","31.6","3.3","","35.9","29.3","","","","",""
"Ferrer, Jose A.","678606","","70.6","","7.5","21.9","","","","",""
"Matz, Steven","571927","","58.4","","1.6","18.2","21.8","","","",""
"Holton, Tyler","663947","11.2","21.8","30.2","","14.6","3.5","","","18.6",""
"Milner, Hoby","571948","14.7","32.8","","","17.4","","","","35.1",""
"Dreyer, Jack","676263","45.1","","","46.2","","8.7","","","",""
"Peralta, Wandy","593974","5.2","43.7","","16.6","34.5","","","","",""
"Harris, Hogan","663687","56.7","","2.7","1.6","13.2","22.8","","","3.1",""
"Suter, Brent","608718","42.2","23.1","","12.2","22.5","","","","",""
"Lee, Dylan","669276","31.2","","","55.5","13.2","","","","",""
"Zerpa, Angel","672582","19.8","44.6","","31.9","3.6","","","","",""
"Manaea, Sean","640455","60.1","0.5","","","5.6","","","","33.9",""
"Wrobleski, Justin","680736","28.6","20.6","14.1","24.8","3.3","8.6","","","",""
"Lynch IV, Daniel","663738","22.7","19.0","","29.2","19.2","9.8","","","",""
"Banks, Tanner","621383","21.2","12.4","","35.6","6.5","","","","24.3",""
"Detmers, Reid","672282","44.1","3.4","","31.2","0.1","21.1","","","",""
"Ragans, Cole","666142","49.5","","4.7","13.8","19.2","12.8","","","",""
"Banda, Anthony","607455","22.8","24.1","","49.2","3.8","","","","",""
"Matsui, Yuki","673513","39.5","1.5","","15.9","","0.2","32.2","","10.7",""
"Akin, Keegan","669211","51.3","","","28.7","19.9","","","","",""
"Hurter, Brant","676428","5.2","52.6","","","10.6","","","","31.6",""
"Okert, Steven","595345","41.2","","0.9","57.8","0.1","","","","",""
"King, Bryan","687911","62.6","5.4","","","1.4","0.3","","","30.2",""
"Koenig, Jared","657649","1.1","56.6","17.7","","9.1","15.5","","","",""
"Ferguson, Caleb","657571","31.6","23.2","23.4","","","","","","","21.8"
"Ashby, Aaron","676879","3.2","50.6","","8.1","11.6","26.4","","","",""
"Soto, Gregory","642397","7.1","52.5","","34.7","","","0.4","","5.3",""
"Snell, Blake","605483","43.6","","","11.1","23.6","21.7","","","",""
"Vesia, Alex","681911","57.5","","","36.4","6.2","","","","",""
