"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Bauer, Trevor","545333","38.5","3.8","16.5","","7.7","19.7","","","13.9",""
"Lynn, Lance","458681","54.1","17.2","16.2","","3.0","9.5","","","",""
"Strasburg, Stephen","544931","28.6","19.7","","0.4","20.7","30.7","","","",""
"Cole, Gerrit","543037","51.6","2.4","","23.2","7.4","15.4","","","",""
"Nola, Aaron","605400","35.4","10.8","","","18.6","35.2","","","",""
"Verlander, Justin","434378","49.9","","","28.7","4.2","17.3","","","",""
"Bieber, Shane","669456","45.7","0.0","","26.5","7.3","20.5","","","",""
"deGrom, Jacob","594798","48.2","1.1","","32.0","15.8","2.9","","","",""
"Flaherty, Jack","656427","46.4","11.9","","27.6","2.0","12.1","","","",""
"López, Reynaldo","625643","58.5","","","18.3","14.8","8.4","","","",""
"Wheeler, Zack","554430","30.0","28.9","20.0","","9.2","9.9","1.9","","",""
"Morton, Charlie","450203","29.8","19.2","10.4","","","37.4","3.2","","",""
"Berríos, José","621244","32.2","23.1","","","15.9","0.6","","","","28.3"
"Syndergaard, Noah","592789","29.3","29.8","","15.2","16.2","9.5","","","",""
"Alcantara, Sandy","645261","30.2","27.6","","21.5","12.1","8.6","","","",""
"Greinke, Zack","425844","41.2","5.3","0.1","16.2","22.1","14.8","0.2","","",""
"Castillo, Luis","622491","29.7","20.8","","16.9","32.5","","","","",""
"Stroman, Marcus","573186","2.1","36.5","24.4","","5.3","1.1","","","","30.6"
"Teheran, Julio","527054","41.7","22.7","","21.0","8.2","6.5","","","",""
"Nova, Iván","467100","17.6","36.7","13.0","","16.0","16.8","","","",""
"Samardzija, Jeff","502188","27.7","19.3","24.9","18.1","","2.5","7.6","","",""
"Leake, Mike","502190","14.4","18.3","26.1","12.6","20.7","7.9","","","",""
"Kelly, Merrill","518876","37.4","9.7","18.2","","13.4","21.4","","","",""
"Porcello, Rick","519144","31.5","25.6","","18.6","11.8","12.6","","","",""
"Junis, Jakob","596001","33.7","17.3","","29.7","5.4","14.1","","","",""
"Roark, Tanner","543699","25.5","30.0","","21.8","9.8","12.8","","","",""
"Darvish, Yu","506433","25.7","8.8","5.0","31.0","0.3","7.0","8.3","","13.9",""
"Hudson, Dakota","641712","13.0","48.7","","25.7","2.6","10.0","","","",""
"Fiers, Mike","571666","32.7","19.6","","17.7","12.5","17.4","","","",""
"Buehler, Walker","621111","53.2","7.1","13.0","14.2","0.5","12.0","","","",""
"Giolito, Lucas","608337","55.0","","","14.7","26.2","4.1","","","",""
"Gray, Sonny","543243","28.4","19.4","0.6","0.4","5.1","25.2","","","20.9",""
"Bailey, Homer","456701","48.1","2.4","","14.2","","8.9","26.4","","",""
"Mikolas, Miles","571945","27.6","23.8","","23.4","3.8","21.4","","","",""
"Tanaka, Masahiro","547888","27.5","4.6","1.6","36.4","","3.2","26.7","","",""
"Odorizzi, Jake","543606","57.9","","18.4","","","6.5","17.1","","",""
"Wainwright, Adam","425794","13.6","25.1","22.4","","2.0","36.8","","","",""
"Bundy, Dylan","605164","42.4","7.5","","22.8","17.4","9.9","","","",""
"Scherzer, Max","453286","48.4","","7.7","20.7","14.5","8.7","","","",""
"Gibson, Kyle","502043","18.2","32.1","","20.8","16.2","12.8","","","",""
"Thornton, Trent","663423","44.0","2.6","16.0","27.1","8.9","1.4","0.0","","",""
"Keller, Brad","641745","41.7","25.2","","31.4","1.7","","","","",""
"Hendricks, Kyle","543294","20.5","41.6","","","28.1","9.8","","","",""
"Sánchez, Aníbal","434671","30.1","9.7","23.5","2.8","4.5","6.0","23.5","","",""
"Davies, Zach","605200","","52.6","11.8","0.7","31.3","3.5","","","",""
"Turnbull, Spencer","605513","44.8","19.5","","20.7","2.9","12.1","","","",""
"Musgrove, Joe","605397","37.6","11.9","8.4","22.1","10.6","9.5","","","",""
"Márquez, Germán","608566","35.4","17.0","","21.1","3.0","23.5","","","",""
"DeSclafani, Anthony","543101","37.2","18.1","","24.3","5.4","15.1","","","",""
"Eflin, Zach","621107","33.6","21.9","0.5","30.7","7.9","5.4","","","",""
"Soroka, Michael","647336","18.8","44.7","","24.1","12.3","","","","","0.2"
"Cashner, Andrew","488768","45.3","2.9","","13.1","27.9","10.8","","","",""
"Maeda, Kenta","628317","34.2","3.2","","31.1","","7.3","24.1","","",""
"Bassitt, Chris","605135","23.9","41.1","13.7","0.1","8.4","12.8","","","",""
"Lyles, Jordan","543475","50.2","1.7","","9.7","7.0","31.3","","","",""
"Gray, Jon","592351","51.3","1.2","","33.5","2.9","11.1","","","",""
"Williams, Trevor","592866","51.9","15.0","","20.1","12.1","0.9","","","",""
"Sanchez, Aaron","592717","36.4","21.1","","","19.4","23.1","","","",""
"Anderson, Chase","502624","43.4","7.4","14.7","","24.2","10.3","","","",""
"Richards, Trevor","670950","43.7","","9.6","1.2","38.3","7.1","","","",""
"Paddack, Chris","663978","61.1","","","","28.5","10.4","","","",""
"Sparkman, Glenn","642098","60.7","","0.0","9.8","12.8","16.6","","","",""
"Germán, Domingo","593334","34.4","10.5","","","19.0","36.1","","","",""
"Senzatela, Antonio","622608","61.9","","","19.5","8.0","10.6","","","",""
"Wacha, Michael","608379","49.5","0.9","15.5","","23.8","10.3","","","",""
"Arrieta, Jake","453562","1.0","55.5","","12.0","18.2","13.4","","","",""
"Pineda, Michael","501381","54.2","1.1","","29.4","15.3","","","","",""
"Mahle, Tyler","641816","57.1","","7.0","","","23.2","12.8","","",""
"Velasquez, Vince","592826","62.5","5.3","","20.0","","12.2","","","",""
"Archer, Chris","502042","39.6","10.7","","35.6","12.1","2.0","","","",""
"Clevinger, Mike","605182","51.1","","","0.0","11.4","12.0","","","25.5",""
"López, Jorge","605347","31.9","22.5","","6.0","7.5","32.2","","","",""
"Sampson, Adrian","592716","","54.2","","33.2","12.5","0.1","","","",""
"Jurado, Ariel","642558","22.9","41.3","","15.0","11.8","8.9","","","",""
"Beede, Tyler","595881","56.1","0.0","","11.5","18.7","13.7","","","",""
"Chirinos, Yonny","630023","1.0","55.0","","21.6","","","22.5","","",""
"Woodruff, Brandon","605540","38.3","25.8","","19.8","14.3","1.9","","","",""
"Chacín, Jhoulys","468504","12.9","31.4","","49.6","5.6","0.6","","","",""
"Brooks, Aaron","605156","25.7","28.0","","22.4","20.6","3.3","","","",""
"Plesac, Zach","668676","50.6","","","18.8","20.6","10.0","","","",""
"Foltynewicz, Mike","592314","26.3","25.6","","28.5","9.5","10.1","","","",""
"Zimmermann, Jordan","519455","34.4","12.4","","31.6","2.1","19.5","","","",""
"Ynoa, Gabriel","593679","31.1","25.0","","28.0","13.7","2.3","","","",""
"Houser, Adrian","605288","31.3","36.1","","11.9","6.8","13.9","","","",""
"Plutko, Adam","592644","53.9","","24.0","0.4","11.2","10.5","","","",""
"López, Pablo","641154","42.4","16.3","","","22.0","19.2","","","",""
"Quantrill, Cal","615698","20.1","36.9","","21.5","17.6","3.9","","","",""
"Cahill, Trevor","502239","8.1","28.3","18.4","","23.4","21.8","","","",""
"Rodríguez, Dereck","605446","40.3","8.2","14.0","","20.7","16.9","","","",""
"Gausman, Kevin","592332","57.0","","","1.8","3.5","","37.7","","",""
"Pivetta, Nick","601713","49.3","2.2","","12.4","0.9","35.2","","","",""
"Peralta, Freddy","642547","77.7","","","","1.8","20.5","","","",""
"Anderson, Shaun","641312","45.2","13.3","","30.6","8.0","3.0","","","",""
"Lambert, Peter","663567","52.7","0.4","","12.1","21.9","12.8","","","",""
"Peña, Félix","570240","4.5","44.6","","39.4","11.5","","","","",""
"Canning, Griffin","656288","42.3","","","28.9","12.8","16.0","","","",""
"Godley, Zack","643327","0.1","35.5","16.3","","6.0","42.1","","","",""
"Font, Wilmer","521655","47.1","11.1","","13.4","","19.0","9.3","","",""
"Clarke, Taylor","664199","45.9","7.3","","25.4","11.8","9.7","","","",""
"Peacock, Brad","502748","27.4","31.1","","","6.0","6.9","","","28.6",""
"Barria, Jaime","642545","31.1","5.5","","47.1","16.3","","","","",""
"Montas, Frankie","593423","18.7","38.0","","25.0","","","18.2","","",""
"Wojciechowski, Asher","592879","53.9","","19.3","24.5","2.3","","","","",""
"Stripling, Ross","548389","36.0","1.9","2.9","15.9","14.7","28.5","","","",""
"Hernández, Elieser","622694","53.6","1.7","","33.3","11.4","","","","",""
"Hess, David","605276","53.4","5.7","","24.6","11.7","4.5","","","",""
"Gaviglio, Sam","543208","","42.4","","44.3","9.7","3.6","","","",""
"Gallen, Zac","668678","47.6","2.2","15.4","","15.9","18.9","","","",""
"Yamamoto, Jordan","657141","49.0","0.8","18.0","14.8","3.6","13.8","","","",""
"Ureña, José","570632","0.4","62.9","","19.9","10.6","6.2","","","",""
"Cease, Dylan","656302","47.4","4.2","","21.0","8.9","18.5","","","",""
"Cessa, Luis","570666","34.2","7.8","","49.9","7.2","1.0","","","",""
"Guerra, Junior","448855","30.9","29.2","","","","18.8","21.0","","",""
"Waguespack, Jacob","621097","32.2","16.2","24.0","5.3","8.1","14.3","","","",""
"Green, Chad","643338","77.3","","","20.9","","","1.7","","",""
"Hendriks, Liam","521230","69.3","1.2","","21.6","","7.9","","","",""
"Jackson, Edwin","429719","23.3","13.9","27.4","25.2","7.5","2.7","","","",""
"Barnes, Matt","598264","47.3","","","","2.0","50.7","","","",""
"Chavez, Jesse","445926","8.2","37.6","31.0","13.3","9.6","0.3","","","",""
"Barlow, Scott","605130","35.0","8.0","","43.4","0.2","13.5","","","",""
"Lorenzen, Michael","547179","21.3","15.7","26.5","9.8","19.5","7.2","","","",""
"Stanek, Ryne","592773","55.7","","","23.6","","","20.7","","",""
"McHugh, Collin","543521","32.6","0.7","12.1","","3.2","7.8","","","43.7",""
"Fedde, Erick","607200","0.9","55.0","17.2","","7.1","19.8","","","",""
"Chatwood, Tyler","543022","31.7","39.5","10.2","","7.3","11.4","","","",""
"Bradley, Archie","605151","58.5","11.1","","","5.8","24.6","","","",""
"Leclerc, José","600917","41.0","8.8","","37.1","11.8","1.3","","","",""
"Lugo, Seth","607625","34.6","22.2","","13.0","6.5","23.7","","","",""
"Carrasco, Carlos","471911","33.5","12.2","","33.7","18.6","2.0","","","",""
"Walden, Marcus","519393","19.3","17.7","25.8","37.2","","","","","",""
"Eovaldi, Nathan","543135","43.3","","22.5","3.2","","17.5","13.5","","",""
"Hoffman, Jeff","656546","58.8","","","1.0","0.1","28.8","11.3","","",""
"Jackson, Luke","592426","37.9","","","53.6","0.1","8.4","","","",""
"Stammen, Craig","489334","0.3","71.0","15.8","","0.7","12.2","","","",""
"Stratton, Chris","608717","56.5","0.2","0.3","24.1","5.9","13.0","","","",""
"Workman, Brandon","519443","33.7","","19.3","","","47.0","","","",""
"Estévez, Carlos","608032","67.5","1.8","","27.2","3.5","","","","",""
"Lamet, Dinelson","659275","35.9","18.8","","12.2","1.5","31.7","","","",""
"Castro, Miguel","612434","","48.9","","31.1","20.0","","","","",""
"Hernández, Félix","433587","7.5","32.2","","9.0","16.2","35.2","","","",""
"Hudson, Daniel","543339","63.3","7.5","","23.3","5.9","","","","",""
"Brebbia, John","605154","56.6","","","42.8","0.6","","","","",""
